date,high,isin,last,low
2020-06-15 15:02:04.148726,92.22,US94106L1098,91.44,90.01
2020-06-15 21:21:50.336675,75.95,IE00B3RBWM25,75.9,73.01
2020-06-15 21:21:50.832149,160.5,US0846707026,160.0,155.06
2020-06-15 21:21:52.256007,93.15,US94106L1098,92.21,90.01
2020-06-16 13:06:06.074633,76.95,IE00B3RBWM25,76.95,76.34
2020-06-16 13:06:06.492581,164.08,US0846707026,163.96,161.04
2020-06-16 13:06:07.612571,95.55,US94106L1098,94.53,92.92
2020-06-17 09:34:00.238983,77.85,IE00B3RBWM25,77.85,77.18
2020-06-17 09:34:00.668123,162.78,US0846707026,162.78,161.98
2020-06-17 09:34:01.752289,95.83,US94106L1098,95.83,94.45
2020-06-17 15:06:26.930569,78.15,IE00B3RBWM25,77.98,77.18
2020-06-17 15:06:27.413562,163.98,US0846707026,162.98,161.98
2020-06-17 15:06:28.603840,96.44,US94106L1098,95.99,94.45
2020-06-18 09:50:57.741731,77.47,IE00B3RBWM25,77.3,77.21
2020-06-18 09:50:58.279993,161.64,US0846707026,161.36,160.0
2020-06-18 09:50:59.423941,94.61,US94106L1098,93.36,93.1
2020-06-19 10:11:59.292048,77.98,IE00B3RBWM25,77.98,77.78
2020-06-19 10:11:59.738641,162.7,US0846707026,162.44,161.3
2020-06-19 10:12:00.905171,94.32,US94106L1098,94.13,93.01
2020-06-22 12:31:15.266634,77.63,IE00B3RBWM25,77.38,77.17
2020-06-22 12:31:15.683879,161.8,US0846707026,160.84,159.8
2020-06-22 12:31:16.902503,92.31,US94106L1098,91.41,91.19
2020-06-22 16:04:28.421379,77.63,IE00B3RBWM25,77.15,76.93
2020-06-22 16:04:28.923505,161.8,US0846707026,160.0,159.5
2020-06-22 16:04:30.282415,92.38,US94106L1098,90.91,90.25
2020-06-23 09:21:34.258875,77.85,IE00B3RBWM25,77.85,77.42
2020-06-23 09:21:34.978963,160.7,US0846707026,159.82,159.62
2020-06-23 09:21:36.304010,93.0,US94106L1098,93.0,93.0
2020-06-23 15:16:00.859854,78.12,IE00B3RBWM25,77.92,77.42
2020-06-23 15:16:01.305081,161.98,US0846707026,160.82,159.62
2020-06-23 15:16:02.506250,93.58,US94106L1098,93.12,92.39
2020-06-24 10:33:48.151405,77.97,IE00B3RBWM25,76.97,76.97
2020-06-24 10:33:48.586673,160.38,US0846707026,158.74,158.4
2020-06-24 10:33:49.834603,92.34,US94106L1098,91.22,91.01
2020-06-25 10:14:41.148502,76.45,IE00B3RBWM25,75.85,75.43
2020-06-25 10:14:41.631707,158.0,US0846707026,157.46,156.6
2020-06-25 10:14:42.772655,90.77,US94106L1098,90.77,89.91
2020-06-25 17:19:37.638565,76.59,IE00B3RBWM25,76.43,75.43
2020-06-25 17:19:38.073073,160.0,US0846707026,158.8,156.6
2020-06-25 17:19:39.182574,91.91,US94106L1098,89.84,89.65
2020-06-26 09:28:27.529594,77.21,IE00B3RBWM25,76.9,76.82
